first_name,middle_name,last_name,relationship,email,phone,stu_id
Ricardo,,summerville,Father,ricardo.summerville@mail.com,5555563733,67012682
Alma,,wescott,Mother,alma.wescott@mail.com,5555559968,67012683
Carhla Maritza,,gillen,Mother,carhla maritza.gillen@mail.com,5555556935,67012684
Yulissa,,block,Mother,yulissa.block@mail.com,5555563596,67012685
Maria isabel,,ritchie,Mother,maria isabel.ritchie@mail.com,5555560717,67012686
Karen,,arruda,Mother,karen.arruda@mail.com,5555559668,67012687
Joanna,,tillery,Mother,joanna.tillery@mail.com,5555559422,67012688
Erika,,mortensen,Mother,erika.mortensen@mail.com,5555558103,67012689
Jamileth,,mcneil,Mother,jamileth.mcneil@mail.com,5555561798,67012690
Angela,,blair,Mother,angela.blair@mail.com,5555556194,67012691
Gabriela,,miner,Mother,gabriela.miner@mail.com,5555558212,67012692
Natalie,,anaya,Mother,natalie.anaya@mail.com,5555561783,67012693
Zuleyma,,lomax,Mother,zuleyma.lomax@mail.com,5555563666,67012694
Gustavo,,foxworth,Father,gustavo.foxworth@mail.com,5555563687,67012695
Diana,,lemus,Mother,diana.lemus@mail.com,5555557721,67012696
Jose,,vasquez,Father,jose.vasquez@mail.com,5555559487,67012697
Jennie,,truitt,Mother,jennie.truitt@mail.com,5555559292,67012698
Valeshka,,nickens,Mother,valeshka.nickens@mail.com,5555563109,67012699
Fernanda,,dore,Mother,fernanda.dore@mail.com,5555563839,67012700
Cynthia,,reinhardt,Mother,cynthia.reinhardt@mail.com,5555557475,67012701
Richard,,tomlin,Father,richard.tomlin@mail.com,5555562228,67012702
Martha,,pantoja,Mother,martha.pantoja@mail.com,5555560528,67012703
Delia,,chi,Mother,delia.chi@mail.com,5555561547,67012704
Julio,,troy,Father,julio.troy@mail.com,5555558621,67012705
Alejandra,,edmonson,Mother,alejandra.edmonson@mail.com,5555555839,67012706
Katia,,quinones,Mother,katia.quinones@mail.com,5555559788,67012707
hymdhar,,fischer,Father,hymdhar.fischer@mail.com,5555558893,67012708
Alejandra,,medellin,Mother,alejandra.medellin@mail.com,5555555851,67012709
Elizabeth,,messina,Mother,elizabeth.messina@mail.com,5555558004,67012710
Vanita,,lundberg,Mother,vanita.lundberg@mail.com,5555563155,67012711
Rosa,,harvey,Mother,rosa.harvey@mail.com,5555562306,67012712
America,,irvine,Mother,america.irvine@mail.com,5555558542,67012713
Luis,,skidmore,Father,luis.skidmore@mail.com,5555563870,67012714
Kalahan,,pino,Mother,kalahan.pino@mail.com,5555559640,67012715
Lesli Maciel,,bostic,Mother,lesli maciel.bostic@mail.com,5555557404,67012716
Destiny,,florence,Mother,destiny.florence@mail.com,5555557790,67012717
Brisa,,donald,Mother,brisa.donald@mail.com,5555556824,67012718
Blanca,,hossain,Mother,blanca.hossain@mail.com,5555556675,67012719
Michelle,,luck,Mother,michelle.luck@mail.com,5555563569,67012720
Vanessa,,sipple,Mother,vanessa.sipple@mail.com,5555563342,67012721
Gisel,,hartley,Mother,gisel.hartley@mail.com,5555561108,67012722
Laura,,dugas,Mother,laura.dugas@mail.com,5555556220,67012723
Jamany,,bidwell,Mother,jamany.bidwell@mail.com,5555559158,67012724
Eryka,,washington,Mother,eryka.washington@mail.com,5555558172,67012725
