site_id,site_name,stu_id,ssid,grade,first_name,middle_name,last_name,gender,email,birth_date,gradyr,race,frmcode,english_status,entry_date,exit_date,disability,sped_exit,dwelling_type,migrant,foster,code_504,schoolyr
67_67399_5136971,Adams Elementary School,67013019,,6,babali,,duda,F,babali.duda@mail.org,3/5/13,2031,700,1,,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012968,,5,bryon,manvik,cade,M,bryon.cade@mail.org,9/16/15,2033,700,0,RFEP,8/12/24,,OHI,,0,N,N,1,2025-2026
67_67399_5136971,Adams Elementary School,67013004,1007462902 r,6,buster,,lacy,M,buster.lacy@mail.org,1/6/14,2032,600,1,RFEP,,,AUT,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012841,1005832413,3,cable,,puente,M,cable.puente@mail.org,6/5/17,2035,600,1,EO,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136978,Central Junior High School,67013056,1007983058,7,cailie,,lund,F,cailie.lund@mail.org,10/19/12,2031,500,1,RFEP,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136978,Central Junior High School,67013095,1008373175,7,caleb,daiyan,belt,M,caleb.belt@mail.org,6/19/13,2031,500,1,RFEP,8/12/24,,,,1,N,N,0,2025-2026
67_67399_5136978,Central Junior High School,67013087,1008293151,7,cartell,,donovan,M,cartell.donovan@mail.org,7/24/13,2031,700,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67013036,1007782998,6,cashen,,burroughs,M,cashen.burroughs@mail.org,1/24/14,2032,500,1,RFEP,8/12/24,,,,1,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012743,1004852119,1,castle,,kauffman,M,castle.kauffman@mail.org,9/27/18,2037,200,0,,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012768,1005102194,2,cataia,,benoit,F,cataia.benoit@mail.org,2/2/18,2036,700,0,RFEP,8/12/24,,,,1,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012964,1007062782,5,catria,myara,whittaker,F,catria.whittaker@mail.org,6/20/15,2033,600,1,EO,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012756,1004982158,2,chakiya,rondia,lyle,F,chakiya.lyle@mail.org,10/21/17,2036,500,1,EO,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136978,Central Junior High School,67013119,1008613247,7,chariya,,coe,F,chariya.coe@mail.org,10/6/12,2031,700,0,RFEP,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136978,Central Junior High School,67013085,1008273145,7,charyis,brennda,anders,F,charyis.anders@mail.org,1/6/13,2031,500,1,EL,1/17/25,,SLI,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012684,1004261942,KN,chase,,gillen,M,chase.gillen@mail.org,9/19/19,2036,600,1,EL,8/12/24,,SLI,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012857,1005992461,3,cherron,,yanez,F,cherron.yanez@mail.org,8/4/17,2036,700,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136978,Central Junior High School,67013105,1008473205,7,chido,bhateri,hefner,F,chido.hefner@mail.org,3/23/13,2031,500,1,RFEP,8/12/24,,SLI,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012859,1006012467,4,chiew,rhedyn,back,F,chiew.back@mail.org,2/18/16,2032,700,1,EL,8/12/24,,,,0,Y,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012981,1007232833,5,ciandra,,rizzo,F,ciandra.rizzo@mail.org,8/24/15,2033,600,0,,8/12/24,,,,1,Y,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67013014,1007562932,6,clavin,keydren,wong,M,clavin.wong@mail.org,11/24/13,2032,600,1,RFEP,8/12/24,,AUT,,1,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012907,1006492611,4,cleve,,guffey,M,cleve.guffey@mail.org,8/10/16,2035,700,1,EL,8/12/24,,,,1,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012746,1004882128,1,clinton,,israel,M,clinton.israel@mail.org,5/4/19,2037,500,1,EL,8/12/24,,,,1,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012703,1004451999,1,cloye,,pantoja,F,cloye.pantoja@mail.org,1/14/19,2037,200,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012710,1004522020,1,coletta,,messina,F,coletta.messina@mail.org,11/15/18,2037,700,1,EL,8/12/24,,,,1,Y,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012764,1005062182,2,conilia,,gough,F,conilia.gough@mail.org,5/16/18,2036,600,0,EL,8/12/24,,SLD,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012985,1007272845,6,corazon,lanie,rust,F,corazon.rust@mail.org,9/25/13,2032,500,0,RFEP,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136978,Central Junior High School,67013089,1008313157,7,corrynn,,olmstead,F,corrynn.olmstead@mail.org,2/25/13,2031,700,1,EO,8/12/24,,SLD,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012858,1006002464,3,coryann,verian,vickery,F,coryann.vickery@mail.org,10/8/17,2035,700,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136978,Central Junior High School,67013080,1008223130,7,cosmin,,joyce,M,cosmin.joyce@mail.org,2/7/13,2031,700,1,RFEP,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67013023,1007652959,6,criag,alikai,tribble,M,criag.tribble@mail.org,1/11/14,2032,200,1,RFEP,8/12/24,,,,1,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012698,1004401984,1,daekwan,,truitt,M,daekwan.truitt@mail.org,5/30/19,2036,700,1,EL,8/12/24,,SLI,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012711,1004532023,1,daeun,ineke,lundberg,F,daeun.lundberg@mail.org,3/1/19,2037,600,1,EO,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136978,Central Junior High School,67013120,1008623250,7,dajon,,abell,M,dajon.abell@mail.org,8/23/13,2031,700,1,EL,8/12/24,,AUT,,1,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012817,1005592341,3,dakoda,denzale,russ,M,dakoda.russ@mail.org,12/18/16,2035,700,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136978,Central Junior High School,67013091,1008333163,7,damariz,,kelso,F,damariz.kelso@mail.org,12/9/12,2031,600,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012795,1005372275,2,dannan,clidie,briscoe,F,dannan.briscoe@mail.org,7/14/18,2036,500,1,RFEP,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67013021,1007632953,6,danyiel,mijah,carlos,F,danyiel.carlos@mail.org,8/1/14,2032,600,1,RFEP,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012730,1004722080,1,darylin,,savoy,F,darylin.savoy@mail.org,10/12/18,2037,700,1,EL,8/12/24,,,,1,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012937,1006792701,5,dashell,,callender,F,dashell.callender@mail.org,2/15/15,2033,700,1,RFEP,8/12/24,,SLI,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012878,1006202524,4,dayon,,theriault,M,dayon.theriault@mail.org,3/9/16,2034,700,1,RFEP,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136978,Central Junior High School,67013118,1008603244,7,dayonte,,bradbury,M,dayonte.bradbury@mail.org,1/5/13,2031,700,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012881,1006232533,4,deavan,,maples,M,deavan.maples@mail.org,5/25/16,2034,600,1,EL,8/12/24,,,,1,Y,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012723,1004652059,1,dellius,,dugas,M,dellius.dugas@mail.org,11/5/18,2037,200,1,EL,8/12/24,,SLD,,1,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012798,1005402284,2,delvin,stihl,hutcherson,X,delvin.hutcherson@mail.org,5/3/18,2036,700,1,RFEP,8/12/24,,OHI,,0,N,N,1,2025-2026
67_67399_5136971,Adams Elementary School,67012771,1005132203,2,derique,,shivers,M,derique.shivers@mail.org,6/27/18,2036,600,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67013031,1007732983,6,destani,,denman,F,destani.denman@mail.org,12/10/13,2032,600,1,EO,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012809,1005512317,3,dewyane,,beaman,M,dewyane.beaman@mail.org,9/12/16,2035,700,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012982,1007242836,5,deyona,,rickard,F,deyona.rickard@mail.org,10/14/15,2033,500,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012799,1005412287,2,dezhon,azarias,irvine,M,dezhon.irvine@mail.org,1/14/18,2036,700,0,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012737,1004792101,1,dijion,eizan,stull,M,dijion.stull@mail.org,6/2/19,2037,700,1,EL,8/12/24,,,,1,N,N,0,2025-2026
67_67399_5136978,Central Junior High School,67013068,1008103094,7,dilani,,bankston,F,dilani.bankston@mail.org,1/6/13,2031,700,1,RFEP,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012901,1006432593,4,dillie,,brockman,F,dillie.brockman@mail.org,7/30/16,2034,600,1,RFEP,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136978,Central Junior High School,67013060,1008023070,7,dilnor,,tice,F,dilnor.tice@mail.org,9/21/12,2031,700,1,RFEP,8/12/24,,SLI,,1,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012802,1005442296,2,dishan,iakona,heckman,M,dishan.heckman@mail.org,8/20/18,2036,500,1,EO,8/12/24,,AUT,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012776,1005182218,2,donivan,westen,wyckoff,M,donivan.wyckoff@mail.org,6/1/18,2036,500,0,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012896,1006382578,4,durvesh,,shouse,M,durvesh.shouse@mail.org,9/7/16,2035,500,1,EL,8/12/24,,AUT,,1,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012818,1005602344,3,duskin,,duong,M,duskin.duong@mail.org,4/20/17,2035,700,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012715,1004572035,1,dvante,,pino,M,dvante.pino@mail.org,12/19/18,2037,500,1,EO,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67013022,1007642956,6,dwani,,riordan,F,dwani.riordan@mail.org,4/6/14,2032,500,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012816,1005582338,3,ednamae,,haun,F,ednamae.haun@mail.org,8/26/17,2035,500,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012752,1004942146,2,edwyn,,shriver,M,edwyn.shriver@mail.org,10/8/17,2035,500,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012797,1005392281,2,eilean,,giron,X,eilean.giron@mail.org,2/19/18,2036,700,1,EL,8/12/24,,,,1,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012928,1006702674,5,eleno,,charron,M,eleno.charron@mail.org,4/27/15,2033,700,1,RFEP,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012759,1005012167,2,eliora,,quillen,F,eliora.quillen@mail.org,9/28/17,2036,700,1,EL,8/12/24,,,,1,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012979,1007212827,5,ellenie,,lail,F,ellenie.lail@mail.org,2/7/15,2033,700,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67013053,1007953049,6,elmus,enrique,bricker,M,elmus.bricker@mail.org,10/7/14,2032,200,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012794,1005362272,2,emelyne,mauryn,shrum,F,emelyne.shrum@mail.org,12/8/17,2036,600,1,EO,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012855,1005972455,3,emier,myshon,cofer,M,emier.cofer@mail.org,4/16/17,2035,500,1,EL,8/12/24,,,,1,Y,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012922,1006642656,5,emille,haedyn,cress,F,emille.cress@mail.org,10/13/14,2033,500,1,RFEP,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012871,1006132503,4,emrick,jaell,leatherman,M,emrick.leatherman@mail.org,12/12/14,2033,600,1,EL,8/12/24,,AUT,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012894,,4,eoannis,,fick,M,eoannis.fick@mail.org,3/27/16,2034,600,1,EL,8/12/24,,AUT,,1,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012742,1004842116,1,equilla,onela,brian,F,equilla.brian@mail.org,7/12/19,2037,500,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012766,1005082188,2,erald,chandru,fuhrman,M,erald.fuhrman@mail.org,10/9/17,2036,500,1,EL,8/12/24,,,,1,N,N,0,2025-2026
67_67399_5136978,Central Junior High School,67013082,1008243136,7,erical,,whitehouse,F,erical.whitehouse@mail.org,12/22/12,2031,500,0,RFEP,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136978,Central Junior High School,67013117,1008593241,7,erico,florent,remillard,M,erico.remillard@mail.org,8/15/13,2031,700,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136978,Central Junior High School,67013079,1008213127,7,erizjah,bakary,bill,M,erizjah.bill@mail.org,5/17/13,2031,700,1,RFEP,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012781,1005232233,2,ethin,,macgregor,M,ethin.macgregor@mail.org,5/13/18,2036,600,1,EL,8/12/24,,,,1,N,N,0,2025-2026
67_67399_5136978,Central Junior High School,67013096,1008383178,7,eurelia,shiley,salem,F,eurelia.salem@mail.org,10/22/12,2031,500,1,EL,8/12/24,,AUT,,0,N,N,0,2025-2026
67_67399_5136978,Central Junior High School,67013078,1008203124,7,eylem,,rex,F,eylem.rex@mail.org,3/15/13,2031,700,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67013038,1007803004,6,ezequil,,bolick,M,ezequil.bolick@mail.org,2/13/14,2032,700,1,EL,8/12/24,,,,0,Y,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012744,1004862122,1,farhana,,tucci,F,farhana.tucci@mail.org,1/31/19,2037,600,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012879,1006212527,4,feinyx,,olinger,M,feinyx.olinger@mail.org,3/28/16,2034,700,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012724,1004662062,1,felma,,bidwell,F,felma.bidwell@mail.org,2/12/19,2037,600,1,EO,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012863,1006052479,4,fergal,,abeyta,M,fergal.abeyta@mail.org,2/25/15,,200,1,EL,8/12/24,,OHI,,0,N,N,1,2025-2026
67_67399_5136971,Adams Elementary School,67012700,1004421990,1,foyster,,dore,M,foyster.dore@mail.org,9/21/18,2037,700,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67013017,1007592941,6,franca,,thompkins,F,franca.thompkins@mail.org,1/29/14,2032,700,1,RFEP,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012885,1006272545,4,franjka,rickea,wasserman,F,franjka.wasserman@mail.org,7/14/16,2034,500,1,EL,8/12/24,,OHI,,0,N,N,1,2025-2026
67_67399_5136971,Adams Elementary School,67012807,1005492311,3,frank,edrik,shanklin,M,frank.shanklin@mail.org,8/26/17,2034,700,1,EL,8/12/24,,SLI,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012934,1006762692,5,frankly,,rossman,M,frankly.rossman@mail.org,12/31/14,2033,600,1,EO,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012682,1004241936,KN,frenda,,summerville,F,frenda.summerville@mail.org,10/1/19,2036,500,0,EL,8/12/24,,SLI,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67013009,1007512917,6,fuquan,jamonte,brumley,M,fuquan.brumley@mail.org,6/13/14,2032,700,1,RFEP,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012687,1004291951,KN,gango,birdene,arruda,F,gango.arruda@mail.org,11/20/19,2038,700,0,EL,8/12/24,,AUT,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67013002,1007442896,6,ganiyah,,neubauer,F,ganiyah.neubauer@mail.org,12/12/13,2032,500,1,RFEP,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012775,1005172215,2,garran,kiall,beason,M,garran.beason@mail.org,11/7/17,2036,500,1,EL,8/12/24,,AUT,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67013052,1007943046,6,garvish,,bellows,M,garvish.bellows@mail.org,10/9/14,2032,500,0,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67013027,,6,gatlyn,,bouldin,M,gatlyn.bouldin@mail.org,12/2/13,2032,700,1,RFEP,8/12/24,,SLI,,0,N,N,0,2025-2026
67_67399_5136978,Central Junior High School,67013107,1008493211,7,gemayel,,vaca,M,gemayel.vaca@mail.org,12/31/12,2031,700,1,RFEP,8/12/24,,SLI,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012786,1005282248,2,genea,,cobos,F,genea.cobos@mail.org,3/2/18,2036,500,0,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012721,1004632053,1,geneice,,sipple,F,geneice.sipple@mail.org,4/8/19,2037,600,0,IFEP,8/12/24,,,,1,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012962,1007042776,5,geniene,,duda,F,geniene.duda@mail.org,5/14/15,2033,500,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012874,1006162512,4,georgin,germey,hallmark,M,georgin.hallmark@mail.org,9/28/15,2034,600,1,EO,8/12/24,,SLD,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012728,1004702074,1,gevon,moammel,gober,M,gevon.gober@mail.org,5/16/19,2037,700,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136978,Central Junior High School,67013098,1008403184,7,glorice,,thai,F,glorice.thai@mail.org,12/10/12,2031,700,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136978,Central Junior High School,67013103,1008453199,7,gorsi,tonny,ruch,M,gorsi.ruch@mail.org,12/22/12,2031,200,1,RFEP,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012970,1007122800,5,guinn,,scarlett,M,guinn.scarlett@mail.org,4/17/15,2033,700,1,RFEP,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012936,1006782698,5,gurech,navion,duquette,M,gurech.duquette@mail.org,1/10/15,2033,500,1,EL,8/12/24,,SLD,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012963,1007052779,5,gyarsi,,yoshida,F,gyarsi.yoshida@mail.org,7/10/15,2033,200,1,EL,8/12/24,,AUT,,1,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012908,1006502614,5,hafsah,,sand,F,hafsah.sand@mail.org,7/15/15,2032,700,0,RFEP,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012758,1005002164,2,haiyue,surah,favela,F,haiyue.favela@mail.org,11/23/17,2036,700,1,,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012753,1004952149,2,harmond,,otte,M,harmond.otte@mail.org,2/25/18,2035,200,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012731,1004732083,1,haven,,dimaggio,F,haven.dimaggio@mail.org,6/15/19,2037,600,1,EL,8/12/24,,,,1,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012992,1007342866,6,haydn,,tighe,M,haydn.tighe@mail.org,9/6/13,2032,500,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67013032,1007742986,6,hayly,,seeger,F,hayly.seeger@mail.org,7/20/14,2032,500,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136978,Central Junior High School,67013066,1008083088,7,henon,camaron,farwell,M,henon.farwell@mail.org,12/11/12,2031,500,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012785,1005272245,2,holder,,bradberry,M,holder.bradberry@mail.org,4/20/18,2036,500,0,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012726,1004682068,1,hommy,tullus,parkman,M,hommy.parkman@mail.org,12/18/18,2037,500,1,EL,8/12/24,,,,1,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67013018,1007602944,6,houssam,kyonne,hurt,M,houssam.hurt@mail.org,7/22/14,2032,700,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012765,1005072185,2,husnara,,lowry,F,husnara.lowry@mail.org,1/12/18,2036,500,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012686,1004281948,KN,ibtisam,zaylaa,ritchie,F,ibtisam.ritchie@mail.org,12/29/19,2036,500,1,EL,8/12/24,,AUT,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012991,1007332863,6,idette,,shoulders,F,idette.shoulders@mail.org,9/18/13,2032,600,1,RFEP,8/12/24,,AUT,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012904,1006462602,4,ilena,fulvia,boring,F,ilena.boring@mail.org,9/4/15,2034,600,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012836,1005782398,3,iliah,,andino,F,iliah.andino@mail.org,9/13/16,2035,500,1,RFEP,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67013012,1007542926,6,inaky,,cram,M,inaky.cram@mail.org,5/27/14,2032,500,1,EO,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67013040,1007823010,6,isatu,emalia,arbuckle,F,isatu.arbuckle@mail.org,4/24/14,2032,700,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012727,1004692071,1,isavel,,kinnard,F,isavel.kinnard@mail.org,2/21/19,2037,700,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012932,1006742686,5,izona,,smart,F,izona.smart@mail.org,7/19/15,,500,1,RFEP,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012946,1006882728,5,jacoba,,welsh,F,jacoba.welsh@mail.org,7/8/15,2033,500,0,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012815,1005572335,3,jacoub,trident,byrne,M,jacoub.byrne@mail.org,7/20/17,2035,500,0,EL,8/12/24,,AUT,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012948,1006902734,5,jacquyn,cerrone,block,M,jacquyn.block@mail.org,11/1/14,2033,700,1,EL,8/12/24,,SLD,,1,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012754,1004962152,2,jadon,,mcghee,M,jadon.mcghee@mail.org,10/30/17,2036,600,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012919,1006612647,5,jahcure,,cullen,M,jahcure.cullen@mail.org,4/19/14,2032,700,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012911,1006532623,5,jahvion,esmael,delong,M,jahvion.delong@mail.org,8/21/15,2032,600,1,EL,8/12/24,,,,0,Y,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012840,1005822410,3,jaimil,dejun,dumas,M,jaimil.dumas@mail.org,8/29/17,2035,700,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012868,1006102494,4,jalill,,barajas,M,jalill.barajas@mail.org,11/8/15,2034,700,1,RFEP,8/12/24,,SLD,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012697,1004391981,1,jalisha,atikah,vasquez,F,jalisha.vasquez@mail.org,12/27/18,2036,700,0,EL,8/12/24,,AUT,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012735,1004772095,1,jametta,shiho,powers,F,jametta.powers@mail.org,12/17/18,2037,500,1,EL,8/12/24,,,,0,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012888,1006302554,4,jamhal,,valle,M,jamhal.valle@mail.org,7/7/16,2034,700,1,EL,8/12/24,,,,1,N,N,0,2025-2026
67_67399_5136971,Adams Elementary School,67012800,1005422290,2,jamih,,tomlinson,M,jamih.tomlinson@mail.org,11/20/17,2036,700,1,EL,8/12/24,,SLD,,1,N,N,0,2025-2026
