first_name,middle_name,last_name,email,role_id,site_name,rm_num,status
Olivia,Marie,Carr,olivia.carr@mail.org,1,District Office,100,Active
Marcus,,Dent,marcus.dent@mail.org,2,District Office,102,Active
Selina,Rose,Kyle,selina.kyle@mail.org,4,Adams Elementary School,12,Active
Bruce,Thomas,Wayne,bruce.wayne@mail.org,4,Wayne High School,204,Active
Barbara,Ann,Gordon,barbara.gordon@mail.org,4,Gotham High School,118,Active
James,,Gordon,james.gordon@mail.org,1,Gotham High School,101,Active
Pamela,Lillian,Isley,pamela.isley@mail.org,4,Grayson Elementary School,7,Active
Harvey,,Dent,harvey.dent@mail.org,3,Central Junior High School,B4,Active
Edward,Elliot,Nygma,edward.nygma@mail.org,4,Arkham Junior High School,215,Active
Kate,,Kane,kate.kane@mail.org,4,Sunrise Elementary School,9,Active
Lucius,,Fox,lucius.fox@mail.org,3,Fox Elementary School,B1,Active
Renee,Maria,Montoya,renee.montoya@mail.org,2,Robinson Elementary School,Office,Active
Harleen,Frances,Quinzel,harleen.quinzel@mail.org,4,Maple Grove Elementary School,14,Active
Dick,John,Grayson,dick.grayson@mail.org,4,Pennyworth Elementary School,3,Active
Alfred,,Pennyworth,alfred.pennyworth@mail.org,5,Wayne High School,Lib,Active
Jonathan,,Crane,jonathan.crane@mail.org,4,Arkham Junior High School,207,Inactive
Victor,,Fries,victor.fries@mail.org,4,Gotham High School,140,Active
Waylon,,Jones,waylon.jones@mail.org,3,Central Junior High School,B7,Inactive
Zatanna,,Zatara,zatanna.zatara@mail.org,4,Wayne High School,220,Active
Helena,Rosa,Bertinelli,helena.bertinelli@mail.org,2,Grayson Elementary School,Office,Active
